id_str,screen_name,english,universal,content,friend,network,sentiment,temporal,user
1424336875,LizBalmbag,0.001554351,0.002100996,0.044565652,0.106126161,0.136088798,0.059858869,0.093921781,0.046849714
258460238,tomdimaggio,0.001218379,0.002431366,0.124704686,0.094076993,0.1160555,0.097851882,0.083889305,0.089707323
15802805,etlap1,0.76420234,0.355154311,0.897413618,0.633476136,0.743921493,0.944772548,0.53764464,0.845781281
16005814,sunflower2499,0.006043447,0.00430424,0.199356987,0.371898875,0.109970068,0.097851882,0.070659494,0.032317978
3086975121,PowerPost,0.011259347,0.021041094,0.553489451,0.188251402,0.175873829,0.395702202,0.088777716,0.268297742
80679812,BlackWomenLead_,0.002080127,0.00521331,0.07065346,0.244779764,0.360540536,0.09212893,0.099331419,0.034824478
9.65E+17,LauraMcF76,0.386842593,0.475301389,0.091326306,0.419890699,0.213883707,0.334085683,0.17904829,0.89712048
2422882357,UncleDonnieM,0.452279002,0.504016168,0.668916287,0.648878021,0.655070675,0.494033347,0.123822034,0.945897074
8.58E+17,Robyn_TRuth,0.067063388,0.023811569,0.097285153,0.283778917,0.269321703,0.081578363,0.099331419,0.845781281
18549753,_stefania_,0.006826175,0.030450445,0.178009523,0.150687141,0.246102383,0.477401077,0.328061377,0.067460107
1.03E+18,AiCivix,0.028225552,0.026940289,0.89080836,0.17823307,0.158958342,0.655211755,0.328061377,0.368296058
1.01E+18,HelloNUSG,0.052723484,0.060559163,0.727591126,0.502884905,0.175873829,0.543862209,0.506721667,0.538941032
65739179,IHSMarkit,0.001945784,0.002307921,0.349176123,0.244779764,0.079046475,0.155959099,0.341868544,0.067460107
429541062,amanda_albright,0.001482813,0.002307921,0.381522992,0.198696697,0.079046475,0.110254451,0.26368444,0.025802286
21424293,Ringuette,0.001725458,0.003353677,0.066206203,0.126741841,0.06307622,0.059858869,0.079246657,0.040410786
23019861,ShayLuedeke,0.228512174,0.060559163,0.802367303,0.843611525,0.918783336,0.891581559,0.780168042,0.386453791
870394272,ulvdis,0.016566752,0.018599227,0.365197468,0.436280911,0.333041419,0.379894796,0.414585965,0.046849714
8.24E+17,austin_patriot,0.018904417,0.008048111,0.149407927,0.311763277,0.374655042,0.09212893,0.952678222,0.253398775
15751085,CarolineGreer,0.002412482,0.00521331,0.178009523,0.23261518,0.079046475,0.076726235,0.110986912,0.037517839
154521153,The_Gnu_JGH,0.352890442,0.145776203,0.741201347,0.257367141,0.346662998,0.828393199,0.656281566,0.614256976
8.64E+17,wrs_willoughby,0.004775576,0.008048111,0.222571318,0.209571931,0.098634555,0.164926807,0.198001366,0.1994511
3234351557,VoteTheRINOsOUT,0.110463768,0.22121616,0.210729931,0.403675302,0.388985982,0.059858869,0.153323011,0.864884946
9.93E+17,JamesMkaga,0.028225552,0.030450445,0.483913614,0.220878321,0.213883707,0.608797244,0.26368444,0.1994511
8.30E+17,32pjgPdO9OGaxXO,0.006826175,0.008048111,0.288678674,0.220878321,0.1160555,0.477401077,0.810399721,0.333118388
8.26E+17,bambooshooti,0.006043447,0.016452305,0.07065346,0.403675302,0.129106336,0.072140034,0.110986912,0.316175249
8.16E+17,TheSWPrincess,0.352890442,0.415825951,0.110250333,0.536297157,0.15100759,0.059858869,0.188341809,0.910537248
3768065837,AlhamAhlam,0.003831756,0.00521331,0.097285153,0.403675302,0.136088798,0.081578363,0.105016524,0.040410786
1213623457,ubco2,0.001828421,0.003116818,0.075375337,0.283778917,0.213883707,0.097851882,0.06293923,0.05042453
9.59E+17,MontanaNels,0.386842593,0.060559163,0.75436114,0.387667639,0.167245247,0.319438573,0.240328119,0.775241191
281282774,LatPoliticalAve,0.001725458,0.00521331,0.349176123,0.159457582,0.06307622,0.116958291,0.088777716,0.067460107
116980444,lets_maga,0.001309081,0.00272963,0.103588479,0.257367141,0.143386718,0.063717928,0.088777716,0.034824478
59344234,christianfrano,0.001482813,0.003626193,0.085697796,0.142317413,0.418207933,0.081578363,0.099331419,0.268297742
15598556,JennGrapevine,0.002412482,0.004725362,0.140754288,0.198696697,0.109970068,0.08670852,0.130705413,0.126666309
8.07E+17,MattersUStand,0.085904092,0.162307584,0.81320069,0.419890699,0.743921493,0.655211755,0.399625233,0.632401321
533758430,candidconservtv,0.024702039,0.043420869,0.449190615,0.585720438,0.418207933,0.147392934,0.251826683,0.126666309
93181814,DaphneDi,0.00285694,0.003626193,0.140754288,0.134339039,0.319693175,0.076726235,0.074839956,0.077859288
8.21E+17,KidComet2,0.003456538,0.008048111,0.779298411,0.209571931,0.333041419,0.264499589,0.506721667,0.299706585
20576735,tommiesunshine,0.001554351,0.00521331,0.07065346,0.159457582,0.224270463,0.08670852,0.05938086,0.316175249
3189201672,ViscoLoveUS,0.006826175,0.011448498,0.483913614,0.257367141,0.235010835,0.319438573,0.218426911,0.187396141
8.89E+17,ReepiCheep726,0.003134129,0.043420869,0.303217448,0.198696697,0.641224427,0.698843499,0.188341809,0.187396141
8.27E+17,trumpwatchapp,0.286868665,0.269683227,0.90366252,0.585720438,0.837203651,0.818718988,0.868358773,0.423685421
1090215540,StapletonPBPost,0.003134129,0.011448498,0.414955849,0.220878321,0.06307622,0.131429759,0.056011644,0.126666309
8.14E+17,ExplainJamie,0.286868665,0.104603479,0.668916287,0.51961296,0.583655528,0.427948527,0.328061377,0.824524594
18774951,Cayenne_I,0.002412482,0.009037049,0.097285153,0.436280911,0.143386718,0.155959099,0.145447808,0.05042453
60925947,AARPPA,0.011259347,0.005778301,0.124704686,0.168637131,0.184848764,0.072140034,0.17904829,0.062757383
